Date,Open,High,Low,Close,Volume
2016-12-30,14.42,14.5,14.112,14.246,69639300.0
2016-12-29,14.5707,14.6133,14.275,14.31,59207790.0
2016-12-28,14.7687,14.92,14.48,14.6493,55285500.0
2016-12-27,14.3253,14.8167,14.2947,14.6353,85326255.0
2016-12-23,13.8667,14.23,13.8473,14.2227,64233720.0
2016-12-22,13.8813,13.9993,13.7667,13.8967,45456375.0
2016-12-21,13.8967,14.1487,13.8273,13.8467,76344150.0
2016-12-20,13.5367,13.9333,13.5,13.9193,69327735.0
2016-12-19,13.4993,13.63,13.3227,13.5153,51048390.0
2016-12-16,13.2053,13.506,13.1733,13.4993,54686025.0
2016-12-15,13.2273,13.3827,13.1593,13.172,47349300.0
2016-12-14,13.2493,13.5333,13.1173,13.246,61897860.0
2016-12-13,12.8787,13.4187,12.8667,13.21,99715230.0
2016-12-12,12.8533,12.9613,12.736,12.8287,36060195.0
2016-12-09,12.7247,12.9223,12.7207,12.812,40391295.0
2016-12-08,12.8033,12.8333,12.636,12.8193,46626960.0
2016-12-07,12.41,12.8933,12.3333,12.876,79686315.0
2016-12-06,12.368,12.4387,12.179,12.39,50258040.0
2016-12-05,12.1673,12.5927,12.1673,12.4533,58931250.0
2016-12-02,12.192,12.3253,12.0,12.098,59423145.0
2016-12-01,12.55,12.5687,12.0667,12.1253,74774385.0
2016-11-30,12.7333,12.7927,12.5,12.6267,51503475.0
2016-11-29,13.0373,13.1153,12.6333,12.638,64908225.0
2016-11-28,13.032,13.29,12.97,13.0747,65989725.0
2016-11-25,12.9093,13.149,12.9093,13.11,34833240.0
2016-11-23,12.7073,13.043,12.6,12.876,70220145.0
2016-11-22,12.3893,12.7647,12.2473,12.7447,83511015.0
2016-11-21,12.336,12.5927,12.294,12.3133,64941270.0
2016-11-18,12.71,12.8667,12.3333,12.3347,77704125.0
2016-11-17,12.2327,12.6327,12.1407,12.5773,67815780.0
2016-11-16,12.1767,12.3153,12.0807,12.262,51078150.0
2016-11-15,12.1853,12.4287,12.1367,12.2513,58530270.0
2016-11-14,12.5333,12.55,11.8793,12.0967,98283075.0
2016-11-11,12.2827,12.592,12.2,12.5707,58538640.0
2016-11-10,12.7367,12.774,12.028,12.3567,99932550.0
2016-11-09,12.4583,12.8,12.2633,12.6707,121972710.0
2016-11-08,12.9193,13.166,12.7507,12.996,47564715.0
2016-11-07,12.906,12.9527,12.67,12.8807,56728905.0
2016-11-04,12.6,12.8973,12.3973,12.704,77190645.0
2016-11-03,12.6,12.7647,12.4693,12.4947,39795345.0
2016-11-02,12.67,12.8463,12.5003,12.5347,63800730.0
2016-11-01,13.2027,13.2333,12.5403,12.7193,105900540.0
2016-10-31,13.4993,13.4993,13.054,13.182,70384095.0
2016-10-28,13.6,13.688,13.322,13.3313,63030705.0
2016-10-27,14.0893,14.2467,13.4433,13.6007,191784030.0
2016-10-26,13.4,13.546,13.34,13.4827,48029040.0
2016-10-25,13.5267,13.646,13.4133,13.4893,32718435.0
2016-10-24,13.4,13.5963,13.35,13.5173,39959130.0
2016-10-21,13.24,13.438,13.1607,13.3393,33077490.0
2016-10-20,13.4747,13.5333,13.1367,13.2733,64948020.0
2016-10-19,13.316,13.7773,13.204,13.5707,84610620.0
2016-10-18,13.066,13.298,12.884,13.2733,73818900.0
2016-10-17,13.1367,13.226,12.8,12.9307,58331940.0
2016-10-14,13.3773,13.4287,13.0867,13.1007,47913015.0
2016-10-13,13.3667,13.393,13.1367,13.3493,33137250.0
2016-10-12,13.3967,13.592,13.3613,13.434,25068165.0
2016-10-11,13.4567,13.48,13.2207,13.34,33566775.0
